Title,Country,Date,Time,Impact,Forecast,Previous,URL
Daylight Saving Time Shift,AUD,2022-04-02,16:00,Low,,,https://www.forexfactory.com/calendar?day=apr2.2022
FOMC Member Williams Speaks,USD,2022-04-02,17:00,Low,,,https://www.forexfactory.com/calendar?day=apr2.2022
Monetary Base y/y,JPY,2022-04-03,23:50,Low,8.0%,7.6%,https://www.forexfactory.com/calendar?day=apr3.2022
Bank Holiday,CNY,2022-04-03,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr3.2022
MI Inflation Gauge m/m,AUD,2022-04-04,01:00,Low,,0.5%,https://www.forexfactory.com/calendar?day=apr3.2022
ANZ Job Advertisements m/m,AUD,2022-04-04,01:30,Low,,10.9%,https://www.forexfactory.com/calendar?day=apr3.2022
German Trade Balance,EUR,2022-04-04,06:00,Low,11.3B,8.8B,https://www.forexfactory.com/calendar?day=apr4.2022
Spanish Unemployment Change,EUR,2022-04-04,07:00,Medium,15.3K,-11.4K,https://www.forexfactory.com/calendar?day=apr4.2022
Sentix Investor Confidence,EUR,2022-04-04,08:30,Low,-9.3,-7.0,https://www.forexfactory.com/calendar?day=apr4.2022
BOE Gov Bailey Speaks,GBP,2022-04-04,09:05,Medium,,,https://www.forexfactory.com/calendar?day=apr4.2022
Eurogroup Meetings,EUR,2022-04-04,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr4.2022
Building Permits m/m,CAD,2022-04-04,12:30,Low,6.9%,-8.2%,https://www.forexfactory.com/calendar?day=apr4.2022
MPC Member Cunliffe Speaks,GBP,2022-04-04,14:00,Low,,,https://www.forexfactory.com/calendar?day=apr4.2022
Factory Orders m/m,USD,2022-04-04,,Low,-0.5%,1.5%,https://www.forexfactory.com/calendar?day=apr4.2022
BOC Business Outlook Survey,CAD,2022-04-04,14:30,Medium,,,https://www.forexfactory.com/calendar?day=apr4.2022
AIG Construction Index,AUD,2022-04-04,22:30,Low,,53.4,https://www.forexfactory.com/calendar?day=apr4.2022
Average Cash Earnings y/y,JPY,2022-04-04,23:30,Low,0.6%,1.1%,https://www.forexfactory.com/calendar?day=apr4.2022
Household Spending y/y,JPY,2022-04-04,,Low,2.8%,6.9%,https://www.forexfactory.com/calendar?day=apr4.2022
Bank Holiday,CNY,2022-04-04,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr4.2022
10-y Bond Auction,JPY,2022-04-05,03:35,Low,,0.18|3.2,https://www.forexfactory.com/calendar?day=apr5.2022
Cash Rate,AUD,2022-04-05,04:30,High,0.10%,0.10%,https://www.forexfactory.com/calendar?day=apr5.2022
RBA Rate Statement,AUD,2022-04-05,,High,,,https://www.forexfactory.com/calendar?day=apr5.2022
French Industrial Production m/m,EUR,2022-04-05,06:45,Low,-0.4%,1.8%,https://www.forexfactory.com/calendar?day=apr5.2022
Spanish Services PMI,EUR,2022-04-05,07:15,Low,54.2,56.6,https://www.forexfactory.com/calendar?day=apr5.2022
Italian Services PMI,EUR,2022-04-05,07:45,Low,51.6,52.8,https://www.forexfactory.com/calendar?day=apr5.2022
French Final Services PMI,EUR,2022-04-05,07:50,Low,57.4,57.4,https://www.forexfactory.com/calendar?day=apr5.2022
German Final Services PMI,EUR,2022-04-05,07:55,Low,55.0,55.0,https://www.forexfactory.com/calendar?day=apr5.2022
Final Services PMI,EUR,2022-04-05,08:00,Low,54.8,54.8,https://www.forexfactory.com/calendar?day=apr5.2022
Final Services PMI,GBP,2022-04-05,08:30,Low,60.9,61.0,https://www.forexfactory.com/calendar?day=apr5.2022
Housing Equity Withdrawal q/q,GBP,2022-04-05,,Low,1.4B,-6.7B,https://www.forexfactory.com/calendar?day=apr5.2022
ECOFIN Meetings,EUR,2022-04-05,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr5.2022
Trade Balance,CAD,2022-04-05,12:30,Low,2.9B,3.1B,https://www.forexfactory.com/calendar?day=apr5.2022
Trade Balance,USD,2022-04-05,,Low,-88.5B,-89.2B,https://www.forexfactory.com/calendar?day=apr5.2022
Final Services PMI,USD,2022-04-05,13:45,Low,58.9,58.9,https://www.forexfactory.com/calendar?day=apr5.2022
ISM Services PMI,USD,2022-04-05,14:00,High,58.6,56.5,https://www.forexfactory.com/calendar?day=apr5.2022
FOMC Member Brainard Speaks,USD,2022-04-05,14:05,Medium,,,https://www.forexfactory.com/calendar?day=apr5.2022
GDT Price Index,NZD,2022-04-05,14:45,Low,,-0.9%,https://www.forexfactory.com/calendar?day=apr5.2022
FOMC Member Williams Speaks,USD,2022-04-05,18:00,Low,,,https://www.forexfactory.com/calendar?day=apr5.2022
API Weekly Statistical Bulletin,USD,2022-04-05,20:30,Low,,,https://www.forexfactory.com/calendar?day=apr5.2022
ANZ Commodity Prices m/m,NZD,2022-04-06,01:08,Low,,3.9%,https://www.forexfactory.com/calendar?day=apr5.2022
RatingDog Services PMI,CNY,2022-04-06,01:45,Low,49.6,50.2,https://www.forexfactory.com/calendar?day=apr5.2022
German Factory Orders m/m,EUR,2022-04-06,06:00,Low,-0.2%,2.3%,https://www.forexfactory.com/calendar?day=apr6.2022
RBA Gov Bullock Speaks,AUD,2022-04-06,06:05,Low,,,https://www.forexfactory.com/calendar?day=apr6.2022
Construction PMI,GBP,2022-04-06,08:30,Low,58.0,59.1,https://www.forexfactory.com/calendar?day=apr6.2022
PPI m/m,EUR,2022-04-06,09:00,Low,1.2%,5.1%,https://www.forexfactory.com/calendar?day=apr6.2022
Ivey PMI,CAD,2022-04-06,14:00,Medium,62.3,60.6,https://www.forexfactory.com/calendar?day=apr6.2022
Treasury Sec Yellen Speaks,USD,2022-04-06,,Medium,,,https://www.forexfactory.com/calendar?day=apr6.2022
Crude Oil Inventories,USD,2022-04-06,14:30,Low,-2.9M,-3.4M,https://www.forexfactory.com/calendar?day=apr6.2022
FOMC Meeting Minutes,USD,2022-04-06,18:00,High,,,https://www.forexfactory.com/calendar?day=apr6.2022
AIG Services Index,AUD,2022-04-06,22:30,Low,,60.0,https://www.forexfactory.com/calendar?day=apr6.2022
Goods Trade Balance,AUD,2022-04-07,01:30,Low,11.70B,11.79B,https://www.forexfactory.com/calendar?day=apr6.2022
30-y Bond Auction,JPY,2022-04-07,03:35,Low,,0.89|3.1,https://www.forexfactory.com/calendar?day=apr7.2022
Leading Indicators,JPY,2022-04-07,05:00,Low,100.9%,102.5%,https://www.forexfactory.com/calendar?day=apr7.2022
Unemployment Rate,CHF,2022-04-07,05:45,Low,2.2%,2.3%,https://www.forexfactory.com/calendar?day=apr7.2022
German Industrial Production m/m,EUR,2022-04-07,06:00,Low,0.1%,1.4%,https://www.forexfactory.com/calendar?day=apr7.2022
Halifax HPI m/m,GBP,2022-04-07,,Low,0.9%,0.8%,https://www.forexfactory.com/calendar?day=apr7.2022
Foreign Currency Reserves,CHF,2022-04-07,07:00,Low,,938B,https://www.forexfactory.com/calendar?day=apr7.2022
Spanish 10-y Bond Auction,EUR,2022-04-07,08:49,Low,,1.23|1.5,https://www.forexfactory.com/calendar?day=apr7.2022
Retail Sales m/m,EUR,2022-04-07,09:00,Low,0.6%,0.2%,https://www.forexfactory.com/calendar?day=apr7.2022
French 10-y Bond Auction,EUR,2022-04-07,09:03,Low,,0.52|1.7,https://www.forexfactory.com/calendar?day=apr7.2022
ECB Monetary Policy Meeting Accounts,EUR,2022-04-07,11:30,Low,,,https://www.forexfactory.com/calendar?day=apr7.2022
MPC Member Pill Speaks,GBP,2022-04-07,12:15,Low,,,https://www.forexfactory.com/calendar?day=apr7.2022
Unemployment Claims,USD,2022-04-07,12:30,Medium,201K,171K,https://www.forexfactory.com/calendar?day=apr7.2022
FOMC Member Bullard Speaks,USD,2022-04-07,13:00,Medium,,,https://www.forexfactory.com/calendar?day=apr7.2022
Treasury Sec Yellen Speaks,USD,2022-04-07,14:30,Medium,,,https://www.forexfactory.com/calendar?day=apr7.2022
Natural Gas Storage,USD,2022-04-07,,Low,-28B,26B,https://www.forexfactory.com/calendar?day=apr7.2022
Consumer Credit m/m,USD,2022-04-07,19:00,Low,18.0B,8.9B,https://www.forexfactory.com/calendar?day=apr7.2022
Annual Budget Release,CAD,2022-04-07,20:00,Low,,,https://www.forexfactory.com/calendar?day=apr7.2022
Current Account,JPY,2022-04-07,23:50,Low,0.27T,0.18T,https://www.forexfactory.com/calendar?day=apr7.2022
RBA Financial Stability Review,AUD,2022-04-08,01:30,Low,,,https://www.forexfactory.com/calendar?day=apr7.2022
Consumer Confidence,JPY,2022-04-08,05:00,Low,36.9,35.3,https://www.forexfactory.com/calendar?day=apr8.2022
Economy Watchers Sentiment,JPY,2022-04-08,06:00,Low,45.0,37.7,https://www.forexfactory.com/calendar?day=apr8.2022
Italian Retail Sales m/m,EUR,2022-04-08,08:00,Low,0.5%,-0.6%,https://www.forexfactory.com/calendar?day=apr8.2022
Employment Change,CAD,2022-04-08,12:30,High,77.5K,336.6K,https://www.forexfactory.com/calendar?day=apr8.2022
Unemployment Rate,CAD,2022-04-08,,High,5.4%,5.5%,https://www.forexfactory.com/calendar?day=apr8.2022
Final Wholesale Inventories m/m,USD,2022-04-08,14:00,Low,2.1%,2.1%,https://www.forexfactory.com/calendar?day=apr8.2022
French Presidential Election,EUR,2022-04-10,All Day,High,,,https://www.forexfactory.com/calendar?day=apr10.2022
BOJ Gov Kuroda Speaks,JPY,2022-04-11,00:30,Medium,,,https://www.forexfactory.com/calendar?day=apr10.2022
CPI y/y,CNY,2022-04-11,01:30,Low,1.3%,0.9%,https://www.forexfactory.com/calendar?day=apr10.2022
PPI y/y,CNY,2022-04-10,,Low,8.1%,8.8%,https://www.forexfactory.com/calendar?day=apr10.2022
Prelim Machine Tool Orders y/y,JPY,2022-04-11,05:59,Low,,31.6%,https://www.forexfactory.com/calendar?day=apr11.2022
Construction Output m/m,GBP,2022-04-11,06:00,Low,0.5%,1.6%,https://www.forexfactory.com/calendar?day=apr11.2022
GDP m/m,GBP,2022-04-11,,Low,0.2%,0.8%,https://www.forexfactory.com/calendar?day=apr11.2022
Goods Trade Balance,GBP,2022-04-11,,Low,-16.8B,-23.9B,https://www.forexfactory.com/calendar?day=apr11.2022
Index of Services 3m/3m,GBP,2022-04-11,,Low,0.7%,1.4%,https://www.forexfactory.com/calendar?day=apr11.2022
Industrial Production m/m,GBP,2022-04-11,,Low,0.3%,0.7%,https://www.forexfactory.com/calendar?day=apr11.2022
Manufacturing Production m/m,GBP,2022-04-11,,Low,0.3%,0.9%,https://www.forexfactory.com/calendar?day=apr11.2022
M2 Money Supply y/y,CNY,2022-04-11,08:10,Low,9.2%,9.2%,https://www.forexfactory.com/calendar?day=apr11.2022
New Loans,CNY,2022-04-11,,Low,2750B,1230B,https://www.forexfactory.com/calendar?day=apr11.2022
NIESR GDP Estimate,GBP,2022-04-11,10:00,Low,,1.0%,https://www.forexfactory.com/calendar?day=apr11.2022
FOMC Member Bowman Speaks,USD,2022-04-11,13:30,Low,,,https://www.forexfactory.com/calendar?day=apr11.2022
NZIER Business Confidence,NZD,2022-04-11,22:04,Low,,-28,https://www.forexfactory.com/calendar?day=apr11.2022
Visitor Arrivals m/m,NZD,2022-04-11,22:45,Low,,-34.5%,https://www.forexfactory.com/calendar?day=apr11.2022
BRC Retail Sales Monitor y/y,GBP,2022-04-11,23:01,Low,2.6%,2.7%,https://www.forexfactory.com/calendar?day=apr11.2022
Bank Lending y/y,JPY,2022-04-11,23:50,Low,0.5%,0.3%,https://www.forexfactory.com/calendar?day=apr11.2022
PPI y/y,JPY,2022-04-11,,Low,9.2%,9.7%,https://www.forexfactory.com/calendar?day=apr11.2022
NAB Business Confidence,AUD,2022-04-12,01:30,Low,,13,https://www.forexfactory.com/calendar?day=apr11.2022
German Final CPI m/m,EUR,2022-04-12,06:00,Low,2.5%,2.5%,https://www.forexfactory.com/calendar?day=apr12.2022
German WPI m/m,EUR,2022-04-12,,Low,1.4%,1.7%,https://www.forexfactory.com/calendar?day=apr12.2022
Average Earnings Index 3m/y,GBP,2022-04-12,,Low,5.4%,4.8%,https://www.forexfactory.com/calendar?day=apr12.2022
Claimant Count Change,GBP,2022-04-12,,Low,-41.1K,-58.0K,https://www.forexfactory.com/calendar?day=apr12.2022
Unemployment Rate,GBP,2022-04-12,,Low,3.8%,3.9%,https://www.forexfactory.com/calendar?day=apr12.2022
French Trade Balance,EUR,2022-04-12,06:45,Low,-9.3B,-8.0B,https://www.forexfactory.com/calendar?day=apr12.2022
ZEW Economic Sentiment,EUR,2022-04-12,09:00,Medium,-46.5,-38.7,https://www.forexfactory.com/calendar?day=apr12.2022
German ZEW Economic Sentiment,EUR,2022-04-12,,Medium,-48.4,-39.3,https://www.forexfactory.com/calendar?day=apr12.2022
10-y Bond Auction,GBP,2022-04-12,09:02,Low,,1.60|2.5,https://www.forexfactory.com/calendar?day=apr12.2022
NFIB Small Business Index,USD,2022-04-12,10:00,Low,95.0,95.7,https://www.forexfactory.com/calendar?day=apr12.2022
Core CPI m/m,USD,2022-04-12,12:30,High,0.5%,0.5%,https://www.forexfactory.com/calendar?day=apr12.2022
CPI m/m,USD,2022-04-12,,High,1.2%,0.8%,https://www.forexfactory.com/calendar?day=apr12.2022
CPI y/y,USD,2022-04-12,,High,8.4%,7.9%,https://www.forexfactory.com/calendar?day=apr12.2022
RCM/TIPP Economic Optimism,USD,2022-04-12,14:00,Low,43.2,41.0,https://www.forexfactory.com/calendar?day=apr12.2022
FOMC Member Brainard Speaks,USD,2022-04-12,16:10,Medium,,,https://www.forexfactory.com/calendar?day=apr12.2022
10-y Bond Auction,USD,2022-04-12,17:01,Medium,,1.92|2.5,https://www.forexfactory.com/calendar?day=apr12.2022
Federal Budget Balance,USD,2022-04-12,18:00,Low,-191.5B,-216.6B,https://www.forexfactory.com/calendar?day=apr12.2022
API Weekly Statistical Bulletin,USD,2022-04-12,20:30,Low,,,https://www.forexfactory.com/calendar?day=apr12.2022
FPI m/m,NZD,2022-04-12,22:45,Low,,-0.1%,https://www.forexfactory.com/calendar?day=apr12.2022
Core Machinery Orders m/m,JPY,2022-04-12,23:50,Low,-1.5%,-2.0%,https://www.forexfactory.com/calendar?day=apr12.2022
M2 Money Stock y/y,JPY,2022-04-12,,Low,3.6%,3.6%,https://www.forexfactory.com/calendar?day=apr12.2022
Westpac Consumer Sentiment,AUD,2022-04-13,00:30,Low,,-4.2%,https://www.forexfactory.com/calendar?day=apr12.2022
Official Cash Rate,NZD,2022-04-13,02:00,High,1.25%,1.00%,https://www.forexfactory.com/calendar?day=apr12.2022
RBNZ Rate Statement,NZD,2022-04-12,,High,,,https://www.forexfactory.com/calendar?day=apr12.2022
Trade Balance,CNY,2022-04-13,04:08,Low,140B,739B,https://www.forexfactory.com/calendar?day=apr13.2022
USD-Denominated Trade Balance,CNY,2022-04-13,04:43,Low,22.0B,116.0B,https://www.forexfactory.com/calendar?day=apr13.2022
CPI y/y,GBP,2022-04-13,06:00,High,6.7%,6.2%,https://www.forexfactory.com/calendar?day=apr13.2022
Core CPI y/y,GBP,2022-04-13,,Low,5.3%,5.2%,https://www.forexfactory.com/calendar?day=apr13.2022
PPI Input m/m,GBP,2022-04-13,,Low,2.0%,1.8%,https://www.forexfactory.com/calendar?day=apr13.2022
PPI Output m/m,GBP,2022-04-13,,Low,1.2%,0.9%,https://www.forexfactory.com/calendar?day=apr13.2022
RPI y/y,GBP,2022-04-13,,Low,8.8%,8.2%,https://www.forexfactory.com/calendar?day=apr13.2022
BOJ Gov Kuroda Speaks,JPY,2022-04-13,06:15,Medium,,,https://www.forexfactory.com/calendar?day=apr13.2022
Italian Industrial Production m/m,EUR,2022-04-13,08:00,Low,0.9%,-3.4%,https://www.forexfactory.com/calendar?day=apr13.2022
HPI y/y,GBP,2022-04-13,08:30,Low,10.1%,10.2%,https://www.forexfactory.com/calendar?day=apr13.2022
German 10-y Bond Auction,EUR,2022-04-13,09:38,Low,,0.38|1.3,https://www.forexfactory.com/calendar?day=apr13.2022
PPI m/m,USD,2022-04-13,12:30,High,1.1%,0.8%,https://www.forexfactory.com/calendar?day=apr13.2022
Core PPI m/m,USD,2022-04-13,,Medium,0.5%,0.2%,https://www.forexfactory.com/calendar?day=apr13.2022
BOC Monetary Policy Report,CAD,2022-04-13,14:00,High,,,https://www.forexfactory.com/calendar?day=apr13.2022
BOC Rate Statement,CAD,2022-04-13,,High,,,https://www.forexfactory.com/calendar?day=apr13.2022
Overnight Rate,CAD,2022-04-13,,High,1.00%,0.50%,https://www.forexfactory.com/calendar?day=apr13.2022
Crude Oil Inventories,USD,2022-04-13,14:30,Low,1.1M,2.4M,https://www.forexfactory.com/calendar?day=apr13.2022
BOC Press Conference,CAD,2022-04-13,15:00,High,,,https://www.forexfactory.com/calendar?day=apr13.2022
30-y Bond Auction,USD,2022-04-13,17:01,Medium,,2.38|2.5,https://www.forexfactory.com/calendar?day=apr13.2022
BusinessNZ Manufacturing Index,NZD,2022-04-13,22:30,Low,,53.6,https://www.forexfactory.com/calendar?day=apr13.2022
RICS House Price Balance,GBP,2022-04-13,23:01,Low,75%,78%,https://www.forexfactory.com/calendar?day=apr13.2022
MI Inflation Expectations,AUD,2022-04-14,01:03,Low,,4.9%,https://www.forexfactory.com/calendar?day=apr13.2022
Employment Change,AUD,2022-04-14,01:30,High,30.0K,77.4K,https://www.forexfactory.com/calendar?day=apr13.2022
Unemployment Rate,AUD,2022-04-13,,High,3.9%,4.0%,https://www.forexfactory.com/calendar?day=apr13.2022
PPI m/m,CHF,2022-04-14,06:30,Low,1.1%,0.4%,https://www.forexfactory.com/calendar?day=apr14.2022
Foreign Direct Investment ytd/y,CNY,2022-04-14,07:02,Low,,37.9%,https://www.forexfactory.com/calendar?day=apr14.2022
BOE Credit Conditions Survey,GBP,2022-04-14,08:30,Low,,,https://www.forexfactory.com/calendar?day=apr14.2022
Main Refinancing Rate,EUR,2022-04-14,11:45,High,0.00%,0.00%,https://www.forexfactory.com/calendar?day=apr14.2022
Monetary Policy Statement,EUR,2022-04-14,,High,,,https://www.forexfactory.com/calendar?day=apr14.2022
Manufacturing Sales m/m,CAD,2022-04-14,12:30,Low,3.6%,0.6%,https://www.forexfactory.com/calendar?day=apr14.2022
Wholesale Sales m/m,CAD,2022-04-14,,Low,1.0%,4.2%,https://www.forexfactory.com/calendar?day=apr14.2022
ECB Press Conference,EUR,2022-04-14,,High,,,https://www.forexfactory.com/calendar?day=apr14.2022
Core Retail Sales m/m,USD,2022-04-14,,High,1.0%,0.6%,https://www.forexfactory.com/calendar?day=apr14.2022
Retail Sales m/m,USD,2022-04-14,,High,0.6%,0.8%,https://www.forexfactory.com/calendar?day=apr14.2022
Unemployment Claims,USD,2022-04-14,,Medium,172K,167K,https://www.forexfactory.com/calendar?day=apr14.2022
Import Prices m/m,USD,2022-04-14,,Low,2.3%,1.6%,https://www.forexfactory.com/calendar?day=apr14.2022
CB Leading Index m/m,GBP,2022-04-14,13:30,Low,,0.4%,https://www.forexfactory.com/calendar?day=apr14.2022
Prelim UoM Consumer Sentiment,USD,2022-04-14,14:00,Medium,59.1,59.4,https://www.forexfactory.com/calendar?day=apr14.2022
Business Inventories m/m,USD,2022-04-14,,Low,1.3%,1.3%,https://www.forexfactory.com/calendar?day=apr14.2022
Prelim UoM Inflation Expectations,USD,2022-04-14,,Low,,5.4%,https://www.forexfactory.com/calendar?day=apr14.2022
Natural Gas Storage,USD,2022-04-14,14:30,Low,15B,-33B,https://www.forexfactory.com/calendar?day=apr14.2022
FOMC Member Mester Speaks,USD,2022-04-14,19:50,Medium,,,https://www.forexfactory.com/calendar?day=apr14.2022
Bank Holiday,NZD,2022-04-14,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr14.2022
Bank Holiday,AUD,2022-04-14,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr14.2022
New Home Prices m/m,CNY,2022-04-15,01:30,Low,,-0.13%,https://www.forexfactory.com/calendar?day=apr14.2022
Bank Holiday,CHF,2022-04-15,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr15.2022
French Final CPI m/m,EUR,2022-04-15,06:45,Low,1.4%,1.4%,https://www.forexfactory.com/calendar?day=apr15.2022
Bank Holiday,GBP,2022-04-15,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr15.2022
German Bank Holiday,EUR,2022-04-15,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr15.2022
Empire State Manufacturing Index,USD,2022-04-15,12:30,Medium,0.9,-11.8,https://www.forexfactory.com/calendar?day=apr15.2022
Bank Holiday,CAD,2022-04-15,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr15.2022
Capacity Utilization Rate,USD,2022-04-15,13:15,Low,77.8%,77.6%,https://www.forexfactory.com/calendar?day=apr15.2022
Industrial Production m/m,USD,2022-04-15,,Low,0.4%,0.5%,https://www.forexfactory.com/calendar?day=apr15.2022
TIC Long-Term Purchases,USD,2022-04-15,20:00,Low,103.5B,58.8B,https://www.forexfactory.com/calendar?day=apr15.2022
Bank Holiday,NZD,2022-04-17,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr17.2022
Bank Holiday,AUD,2022-04-17,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr17.2022
GDP q/y,CNY,2022-04-18,02:00,High,4.2%,4.0%,https://www.forexfactory.com/calendar?day=apr17.2022
Retail Sales y/y,CNY,2022-04-17,,Medium,-3.0%,6.7%,https://www.forexfactory.com/calendar?day=apr17.2022
Fixed Asset Investment ytd/y,CNY,2022-04-17,,Low,8.5%,12.2%,https://www.forexfactory.com/calendar?day=apr17.2022
Industrial Production y/y,CNY,2022-04-17,,Low,4.0%,7.5%,https://www.forexfactory.com/calendar?day=apr17.2022
NBS Press Conference,CNY,2022-04-17,,Low,,,https://www.forexfactory.com/calendar?day=apr17.2022
Unemployment Rate,CNY,2022-04-17,,Low,5.5%,5.5%,https://www.forexfactory.com/calendar?day=apr17.2022
Bank Holiday,CHF,2022-04-18,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr18.2022
Bank Holiday,GBP,2022-04-18,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr18.2022
French Bank Holiday,EUR,2022-04-18,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr18.2022
German Bank Holiday,EUR,2022-04-18,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr18.2022
Italian Bank Holiday,EUR,2022-04-18,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr18.2022
NAHB Housing Market Index,USD,2022-04-18,14:00,Low,77,79,https://www.forexfactory.com/calendar?day=apr18.2022
IMF Meetings,All,2022-04-18,Day 1,Low,,,https://www.forexfactory.com/calendar?day=apr18.2022
RBNZ Gov Orr Speaks,NZD,2022-04-18,20:00,High,,,https://www.forexfactory.com/calendar?day=apr18.2022
FOMC Member Bullard Speaks,USD,2022-04-18,,Medium,,,https://www.forexfactory.com/calendar?day=apr18.2022
BusinessNZ Services Index,NZD,2022-04-18,22:30,Low,,48.9,https://www.forexfactory.com/calendar?day=apr18.2022
Monetary Policy Meeting Minutes,AUD,2022-04-19,01:30,Medium,,,https://www.forexfactory.com/calendar?day=apr18.2022
Household Spending m/m,AUD,2022-04-18,,Low,,-16.9%,https://www.forexfactory.com/calendar?day=apr18.2022
Revised Industrial Production m/m,JPY,2022-04-19,04:30,Low,0.1%,0.1%,https://www.forexfactory.com/calendar?day=apr19.2022
Housing Starts,CAD,2022-04-19,12:13,Low,249K,250K,https://www.forexfactory.com/calendar?day=apr19.2022
Foreign Securities Purchases,CAD,2022-04-19,12:30,Low,15.23B,13.49B,https://www.forexfactory.com/calendar?day=apr19.2022
Building Permits,USD,2022-04-19,,Low,1.83M,1.87M,https://www.forexfactory.com/calendar?day=apr19.2022
Housing Starts,USD,2022-04-19,,Low,1.74M,1.79M,https://www.forexfactory.com/calendar?day=apr19.2022
IMF Meetings,All,2022-04-19,Day 2,Low,,,https://www.forexfactory.com/calendar?day=apr19.2022
CB Leading Index m/m,AUD,2022-04-19,14:30,Low,,-0.3%,https://www.forexfactory.com/calendar?day=apr19.2022
GDT Price Index,NZD,2022-04-19,14:39,Low,,-1.0%,https://www.forexfactory.com/calendar?day=apr19.2022
SNB Chairman Jordan Speaks,CHF,2022-04-19,16:30,Medium,,,https://www.forexfactory.com/calendar?day=apr19.2022
API Weekly Statistical Bulletin,USD,2022-04-19,20:30,Low,,,https://www.forexfactory.com/calendar?day=apr19.2022
Trade Balance,JPY,2022-04-19,23:50,Low,-0.58T,-1.07T,https://www.forexfactory.com/calendar?day=apr19.2022
MI Leading Index m/m,AUD,2022-04-20,00:30,Low,,0.4%,https://www.forexfactory.com/calendar?day=apr19.2022
1-y Loan Prime Rate,CNY,2022-04-20,01:15,Medium,3.65%,3.70%,https://www.forexfactory.com/calendar?day=apr19.2022
5-y Loan Prime Rate,CNY,2022-04-19,,Medium,4.55%,4.60%,https://www.forexfactory.com/calendar?day=apr19.2022
Tertiary Industry Activity m/m,JPY,2022-04-20,04:30,Low,0.3%,-0.2%,https://www.forexfactory.com/calendar?day=apr20.2022
German PPI m/m,EUR,2022-04-20,06:00,Low,2.7%,1.4%,https://www.forexfactory.com/calendar?day=apr20.2022
Italian Trade Balance,EUR,2022-04-20,08:00,Low,-4.23B,-5.13B,https://www.forexfactory.com/calendar?day=apr20.2022
Industrial Production m/m,EUR,2022-04-20,09:00,Low,0.8%,-0.7%,https://www.forexfactory.com/calendar?day=apr20.2022
Trade Balance,EUR,2022-04-20,,Low,-6.5B,-7.7B,https://www.forexfactory.com/calendar?day=apr20.2022
CPI m/m,CAD,2022-04-20,12:30,High,0.9%,1.0%,https://www.forexfactory.com/calendar?day=apr20.2022
Common CPI y/y,CAD,2022-04-20,,Medium,2.7%,2.7%,https://www.forexfactory.com/calendar?day=apr20.2022
Median CPI y/y,CAD,2022-04-20,,Medium,3.5%,3.5%,https://www.forexfactory.com/calendar?day=apr20.2022
Trimmed CPI y/y,CAD,2022-04-20,,Medium,4.3%,4.4%,https://www.forexfactory.com/calendar?day=apr20.2022
NHPI m/m,CAD,2022-04-20,,Low,0.7%,1.1%,https://www.forexfactory.com/calendar?day=apr20.2022
German Buba President Nagel Speaks,EUR,2022-04-20,,Low,,,https://www.forexfactory.com/calendar?day=apr20.2022
Core CPI m/m,CAD,2022-04-20,12:32,Low,,0.8%,https://www.forexfactory.com/calendar?day=apr20.2022
Existing Home Sales,USD,2022-04-20,14:00,Medium,5.78M,5.93M,https://www.forexfactory.com/calendar?day=apr20.2022
IMF Meetings,All,2022-04-20,Day 3,Low,,,https://www.forexfactory.com/calendar?day=apr20.2022
Crude Oil Inventories,USD,2022-04-20,14:30,Low,3.0M,9.4M,https://www.forexfactory.com/calendar?day=apr20.2022
G20 Meetings,All,2022-04-20,All Day,Medium,,,https://www.forexfactory.com/calendar?day=apr20.2022
G7 Meetings,All,2022-04-20,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr20.2022
Beige Book,USD,2022-04-20,18:00,Low,,,https://www.forexfactory.com/calendar?day=apr20.2022
CPI q/q,NZD,2022-04-20,22:45,High,2.0%,1.4%,https://www.forexfactory.com/calendar?day=apr20.2022
Spanish 10-y Bond Auction,EUR,2022-04-21,08:40,Low,,1.60|2.3,https://www.forexfactory.com/calendar?day=apr21.2022
Final Core CPI y/y,EUR,2022-04-21,09:00,Low,3.0%,3.0%,https://www.forexfactory.com/calendar?day=apr21.2022
Final CPI y/y,EUR,2022-04-21,,Low,7.5%,7.5%,https://www.forexfactory.com/calendar?day=apr21.2022
Philly Fed Manufacturing Index,USD,2022-04-21,12:30,Medium,21.5,27.4,https://www.forexfactory.com/calendar?day=apr21.2022
Unemployment Claims,USD,2022-04-21,,Medium,177K,186K,https://www.forexfactory.com/calendar?day=apr21.2022
